Condo Name (ID),Address,Status,Last Update,Request Received Date,Review Completion Date,id
CHAPPEL COURT (000475),7020-22 S CHAPPELCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288519
CHASE WOLCOTT (010006),CHICAGO IL 60626 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290139
CHATEAU BEAUVAIS (000780),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288813
CHATHAM UNION (000365),8230-32 S MICHIGANCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288411
CHESS LOFTS (000002),CONDOMINIUMCHICAGO IL 60616 COOK ,HUD Accepted,Unavailable,12/16/2010,Unavailable,460363
CHESTERFIELD ON TOUHY (000520),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288563
CHESTNUT RIDGE UNIT NO 14 (001708),6624 W 64TH PLCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289686
CHRISTIANA COURT (000951),CHICAGO IL 60646 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288980
CHRISTINA & GEORGE CROSSING CO (002381),3315 W GEORGE STREETCHICAGO IL 60618 COOK ,Accepted Without Conditions,Unavailable,04/02/2015,04/21/2015,534352
CHURCHILL ROW LOFTS CONDOMINIU (000084),CHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,12/09/2011,12/20/2011,475824
CITY CENTRE CONDOMINIUM (010035),208 W WASHINGTON STCHICAGO IL 60606 COOK ,Accepted With Conditions,Unavailable,02/01/2002,02/05/2002,336265
CITYVIEW CONDOMINIUM ASSN (IL0032),CHICAGO IL 60611 COOK ,Accepted Without Conditions,Unavailable,03/27/2003,03/27/2003,337380
CITYVIEW LOFTS (000899),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288931
CITYVIEW PLACE (000902),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288934
CLAREMONT RIDGE CONDOMINI (IL0354),CHICAGO IL 11111 COOK ,Accepted Without Conditions,Unavailable,11/22/2006,11/27/2006,369843
CLARENDON COURT (000288),4021 N CLARENDONCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288340
CLASSIC COURT (000428),1519-39 E 68TH STCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288473
CLIFTON COURT CONDOMINIUM (002555),NORTH CLIFTONCHICAGO IL 60657 COOK ,Accepted Without Conditions,Unavailable,10/17/2016,10/18/2016,570232
CLIFTON CROSSING (IL1176),CONDOMINIUMSCHICAGO IL 60657 COOK ,Accepted Without Conditions,Unavailable,07/26/2010,Unavailable,454383
CLINTON COMPLEX (IL0266),500 S CLINTONCHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,04/07/2006,04/11/2006,359380
CLINTON STREET LOFTS (IL0404),CHICAGO IL 60661 COOK ,Accepted With Conditions,Unavailable,05/23/2007,05/24/2007,376943
CLOCK TOWER LOFTS (000868),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288900
COBBLESTONE SQUARE CONDOMINIUM (002293),W ALETGELD STREETCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,04/03/2014,04/09/2014,514886
COLUMBIA PLACE TOWNHOMES (000033),CONDOMINIUM ASSOCIATIONCHICAGO IL 60657 COOK ,Accepted Without Conditions,Unavailable,05/10/2011,05/11/2011,466803
COLUMBUS ON THE PARK (000892),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288924
COLUMBUS TOWERS (000441),7855 S KEDZIECHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288485
COMMODORE/GREEN BRIER (000690),LANDMARKCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288726
CONCORD AT JEFFERSON PARK (002165),E1/2 OF NE1/4 OF S16 T40 R13CHICAGO IL 60630 COOK ,Accepted Without Conditions,Unavailable,12/07/2012,12/07/2012,492405
CONSTELLATION (000360),1555 N DEARBORNCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288406
CORNELIA CONDOMINIUM (002254),653 W CORNELIA AVECHICAGO IL 60657 COOK ,Accepted Without Conditions,Unavailable,10/04/2013,10/15/2013,506905
CORNELL PARK CONDOMINIUM (010033),6743-45 S CORNELL AVENUECHICAGO IL 60649 COOK ,Accepted With Conditions,Unavailable,01/22/2002,01/22/2002,336231
CORNERSTONE CONDOMINUIM (002550),N. PAULINA STCHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,09/15/2016,09/19/2016,568513
CORTLAND LUXURY (IL0954),CONDOMINIUMCHICAGO IL 60647 COOK ,HUD Accepted,Unavailable,08/31/2009,09/14/2009,436303
COURTYARD (000239),6807-11 S PULASKICHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288293
COURTYARD AT GRAND (IL0515),CROSSING CONDOMINIUMSCHICAGO IL 60637 COOK ,Accepted Without Conditions,Unavailable,03/13/2008,03/18/2008,391103
COURTYARD AT GRAND (IL0515),CROSSING CONDOMINIUMSCHICAGO IL 60637 COOK ,Accepted Without Conditions,Unavailable,03/13/2008,03/18/2008,391083
COURTYARD II (000437),6925-35 W 64TH PLCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288481
COURTYARD ON THE BLVD (000906),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288938
COURTYARDS OF FORD CITY (001937),CHICAGO IL 60629 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289911
